Q0a_RespondentID,Ma_SP,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2001,1,201,105,301,401,,,,201,105,,,,,,301,401,,,,,,902,,,902,,,99999,,,302,,,,,,,305,,,,705,607,,,,,,705,,,,,,,607,,,,,,
2001,2,201,105,301,402,,,,201,105,,,,,,301,402,,,,,,902,,,902,,,99999,,,203,,,,,,,205,201,,,,,,,,,,,,,,,,,,,,,,,
2002,1,201,901,105,301,,,,201,901,105,,,,,301,,,,,,,401,,,401,,,99999,,,302,304,303,206,,,,99999,,,,705,602,603,607,,,,705,602,603,607,,,,99999,,,,,,
2002,2,201,301,901,102,,,,201,,,,,,,301,901,102,,,,,401,,,401,,,99999,,,102,201,,,,,,302,306,,,,,,,,,,,,,,,,,,,,,,,
2003,1,201,301,103,,,,,201,,,,,,,301,103,,,,,,99999,,,99999,,,99999,,,302,304,303,351,,,,99999,,,,720,802,607,,,,,720,802,,,,,,607,,,,,,
2003,2,201,302,103,301,,,,201,302,103,,,,,301,,,,,,,99999,,,99999,,,99999,,,303,351,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,301,201,,,,,,301,,,,,,,201,,,,,,,99999,,,99999,,,99999,,,303,207,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,
2004,2,105,201,,,,,,105,,,,,,,201,,,,,,,99999,,,99999,,,99999,,,302,303,205,,,,,99999,,,,712,705,,,,,,712,,,,,,,705,,,,,,
2005,1,103,201,301,901,,,,103,,,,,,,201,301,901,,,,,301,401,,301,,,401,,,202,206,,,,,,308,303,,,,,,,,,,,,,,,,,,,,,,,
2005,2,201,103,301,902,907,,,201,103,,,,,,301,902,907,,,,,401,,,401,,,99999,,,302,304,303,,,,,208,905,,,701,714,201,906,,,,701,714,,,,,,201,906,,,,,
2006,1,105,401,,,,,,105,401,,,,,,99999,,,,,,,202,,,202,,,99999,,,302,102,303,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2006,2,201,301,401,,,,,201,,,,,,,301,401,,,,,,102,,,102,,,99999,,,305,304,205,,,,,99999,,,,201,712,,,,,,201,,,,,,,712,,,,,,
2007,1,301,201,401,102,,,,301,,,,,,,201,401,102,,,,,99999,,,99999,,,99999,,,302,303,102,,,,,99999,,,,702,705,301,501,,,,702,705,,,,,,301,501,,,,,
2007,2,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,102,201,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2008,1,103,301,,,,,,103,,,,,,,301,,,,,,,202,,,202,,,99999,,,901,,,,,,,302,303,,,,,,,,,,,,,,,,,,,,,,,
2008,2,201,902,301,402,103,,,201,902,,,,,,301,402,103,,,,,902,,,902,,,99999,,,303,304,901,,,,,302,,,,801,201,,,,,,801,,,,,,,201,,,,,,
2009,1,201,301,401,101,902,,,201,,,,,,,301,401,101,902,,,,99999,,,99999,,,99999,,,102,303,304,305,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2009,2,201,901,301,401,102,,,201,901,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,201,205,304,,,,,99999,,,,714,605,,,,,,714,605,,,,,,99999,,,,,,
2010,1,201,301,401,103,,,,201,301,,,,,,401,103,,,,,,99999,,,99999,,,99999,,,302,303,305,901,,,,99999,,,,711,906,503,,,,,711,,,,,,,906,503,,,,,
2010,2,201,301,401,901,102,,,201,,,,,,,301,401,901,102,,,,99999,,,99999,,,99999,,,102,304,305,901,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,201,301,,,,,,201,,,,,,,301,,,,,,,99999,,,99999,,,99999,,,302,305,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,
2011,2,301,201,,,,,,301,,,,,,,201,,,,,,,99999,,,99999,,,99999,,,302,305,,,,,,99999,,,,301,712,,,,,,301,,,,,,,712,,,,,,
2012,1,201,105,302,401,901,,,201,105,,,,,,302,401,901,,,,,99999,,,99999,,,99999,,,302,206,202,303,304,,,901,310,301,,,,,,,,,,,,,,,,,,,,,,
2012,2,201,901,302,401,105,,,201,901,,,,,,302,401,105,,,,,99999,,,99999,,,99999,,,302,304,205,204,303,907,,99999,,,,706,701,202,904,,,,706,701,,,,,,202,904,,,,,
2013,1,104,909,201,301,401,103,,104,909,,,,,,201,301,401,103,,,,99999,,,99999,,,99999,,,305,209,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2013,2,902,201,301,401,103,,,902,,,,,,,201,301,401,103,,,,99999,,,99999,,,99999,,,302,304,305,205,309,,,99999,,,,707,712,905,,,,,707,712,,,,,,905,707,,,,,
2014,1,201,105,301,401,,,,201,105,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,202,206,,,,99999,,,,602,603,711,,,,,602,603,711,,,,,99999,,,,,,
2014,2,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,201,205,304,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,201,301,401,102,,,,201,301,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,204,202,206,303,351,,,302,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,201,910,401,902,301,102,,201,910,401,902,,,,301,102,,,,,,99999,,,99999,,,99999,,,205,201,301,307,,,,302,304,,,605,601,201,712,707,,,605,601,,,,,,201,712,707,,,,
2016,1,401,201,301,102,,,,401,,,,,,,201,301,102,,,,,99999,,,99999,,,99999,,,302,202,206,303,304,,,99999,,,,702,705,,,,,,702,,,,,,,705,,,,,,
2016,2,201,401,105,,,,,201,,,,,,,401,105,,,,,,99999,,,99999,,,99999,,,302,304,102,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,301,103,201,401,,,,301,103,,,,,,201,401,,,,,,99999,,,99999,,,99999,,,204,304,305,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,305,205,304,201,,,,99999,,,,201,605,709,,,,,201,,,,,,,605,709,,,,,
2018,1,907,201,301,401,901,104,,907,,,,,,,201,301,401,901,104,,,99999,,,99999,,,99999,,,302,303,202,206,,,,99999,,,,602,603,101,,,,,602,603,,,,,,101,,,,,,
2018,2,201,901,301,402,907,103,,201,901,,,,,,301,402,907,103,,,,99999,,,99999,,,99999,,,307,309,303,302,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,201,910,301,401,907,105,,201,910,,,,,,301,401,907,105,,,,99999,,,99999,,,99999,,,302,303,207,,,,,99999,,,,203,602,603,711,,,,203,,,,,,,602,603,711,,,,
2019,2,401,301,102,,,,,401,,,,,,,301,401,102,,,,,201,,,201,,,99999,,,102,205,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,104,201,301,,,,,104,,,,,,,201,301,,,,,,99999,,,99999,,,99999,,,302,304,305,303,,,,99999,,,,101,702,705,,,,,101,,,,,,,702,705,,,,,
2020,2,201,301,,,,,,201,,,,,,,301,,,,,,,99999,,,99999,,,99999,,,305,303,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,201,907,401,102,,,,201,907,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,202,206,204,209,303,304,,301,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,201,401,301,901,102,,,201,401,,,,,,301,901,102,,,,,99999,,,99999,,,99999,,,302,303,205,,,,,99999,,,,802,605,,,,,,802,605,,,,,,99999,,,,,,
2022,1,104,201,401,301,,,,104,201,401,,,,,301,,,,,,,99999,,,99999,,,99999,,,302,304,206,303,,,,99999,,,,702,705,602,,,,,702,705,,,,,,602,,,,,,
2022,2,201,101,301,401,901,,,201,101,,,,,,301,401,901,,,,,99999,,,99999,,,99999,,,101,201,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,201,301,401,,,,,201,,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,305,303,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,301,201,401,105,,,,301,,,,,,,201,401,105,,,,,99999,,,99999,,,99999,,,305,304,303,201,,,,99999,,,,706,201,605,,,,,706,,,,,,,201,605,,,,,
2024,1,301,201,401,104,,,,301,,,,,,,201,401,104,,,,,99999,,,99999,,,99999,,,302,304,,,,,,99999,,,,701,709,101,,,,,701,,,,,,,709,101,,,,,
2024,2,201,301,401,,,,,201,,,,,,,301,401,,,,,,101,,,101,,,99999,,,302,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,201,401,103,,,,,201,,,,,,,401,103,,,,,,302,,,302,,,99999,,,302,905,102,304,305,,,303,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,102,401,901,,,,,102,401,,,,,,901,,,,,,,302,201,,302,,,201,,,302,304,201,102,305,905,,99999,,,,102,601,903,720,802,,,102,601,,,,,,903,720,802,,,,
2026,1,301,105,401,,,,,301,105,,,,,,401,,,,,,,202,,,202,,,99999,,,202,206,303,,,,,302,901,,,,,,,,,,,,,,,,,,,,,,,
2026,2,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,304,303,204,,,,901,,,,201,802,712,,,,,201,802,712,,,,,99999,,,,,,
2027,1,201,401,,,,,,201,,,,,,,401,,,,,,,99999,,,99999,,,99999,,,207,,,,,,,301,,,,203,704,,,,,,203,,,,,,,704,,,,,,
2027,2,401,,,,,,,401,,,,,,,99999,,,,,,,201,,,201,,,99999,,,99999,,,,,,,306,309,,,,,,,,,,,,,,,,,,,,,,,
2028,1,201,301,103,,,,,201,301,,,,,,103,,,,,,,99999,,,99999,,,99999,,,302,305,304,207,,,,99999,,,,713,201,504,,,,,713,,,,,,,201,504,,,,,
2028,2,201,301,401,908,103,,,201,301,,,,,,401,908,103,,,,,99999,,,99999,,,99999,,,102,304,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2029,1,301,202,,,,,,301,202,,,,,,301,,,,,,,99999,,,99999,,,99999,,,209,303,302,,,,,306,,,,702,705,203,,,,,702,705,,,,,,203,,,,,,
2029,2,102,901,401,,,,,102,901,,,,,,401,,,,,,,201,,,201,,,99999,,,102,201,,,,,,312,313,303,,,,,,,,,,,,,,,,,,,,,,
2030,1,201,907,301,401,105,,,201,907,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,303,302,202,206,204,,,99999,,,,710,602,603,203,906,,,710,602,603,,,,,203,906,,,,,
2030,2,201,402,403,301,105,,,201,402,403,,,,,301,105,,,,,,99999,,,99999,,,99999,,,302,307,309,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2031,1,201,103,301,402,,,,201,103,,,,,,301,402,,,,,,99999,,,99999,,,99999,,,302,303,209,,,,,901,,,,,,,,,,,,,,,,,,,,,,,,
2031,2,103,902,201,301,402,,,103,902,,,,,,201,301,402,,,,,905,,,905,,,99999,,,303,302,305,201,,,,204,,,,706,707,,,,,,706,707,,,,,,99999,,,,,,
2032,1,201,301,,,,,,201,,,,,,,301,,,,,,,99999,,,99999,,,99999,,,99999,,,,,,,302,304,206,207,,,,,,,,,,,,,,,,,,,,,
2032,2,201,301,102,,,,,201,,,,,,,301,102,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,311,314,,,702,705,,,,,,702,,,,,,,705,,,,,,
2033,1,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,202,,,202,,,99999,,,102,303,204,,,,,302,,,,604,703,709,711,,,,604,,,,,,,703,709,711,,,,
2033,2,201,401,102,301,,,,201,401,102,,,,,301,,,,,,,99999,,,99999,,,99999,,,102,,,,,,,204,311,,,,,,,,,,,,,,,,,,,,,,,
2034,1,201,902,301,401,104,,,201,902,301,,,,,401,104,,,,,,99999,,,99999,,,99999,,,302,303,204,,,,,99999,,,,503,101,721,905,710,,,503,101,,,,,,721,905,710,,,,
2034,2,201,302,401,102,,,,201,302,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,901,102,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2035,1,201,301,401,105,,,,201,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,304,303,305,,,,99999,,,,702,705,,,,,,702,705,,,,,,99999,,,,,,
2035,2,201,301,401,104,,,,201,,,,,,,301,401,104,,,,,99999,,,99999,,,99999,,,302,304,305,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2036,1,201,902,301,402,901,105,,201,902,,,,,,301,402,901,105,,,,99999,,,99999,,,99999,,,302,303,202,204,206,102,,99999,,,,602,603,607,504,901,,,602,603,607,504,,,,901,,,,,,
2036,2,104,201,907,105,301,401,902,104,201,907,105,,,,301,401,902,,,,,902,,,902,,,99999,,,301,,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2037,1,201,401,102,,,,,201,,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,
2037,2,301,401,102,,,,,301,,,,,,,401,102,,,,,,907,,,907,,,99999,,,302,907,,,,,,99999,,,,706,,,,,,,706,,,,,,,99999,,,,,,
2038,1,202,301,401,902,103,,,202,,,,,,,301,401,902,103,,,,99999,,,99999,,,99999,,,302,303,209,305,304,,,99999,,,,711,201,602,603,703,,,711,,,,,,,201,602,603,703,,,
2038,2,201,301,401,103,,,,201,,,,,,,301,401,103,,,,,99999,,,99999,,,99999,,,305,205,201,304,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2039,1,201,105,301,402,,,,201,105,,,,,,301,402,,,,,,99999,,,99999,,,99999,,,206,303,305,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2039,2,201,902,301,401,105,,,201,902,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,303,205,201,,,,99999,,,,706,704,904,,,,,706,704,,,,,,904,,,,,,
2040,1,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,99999,,,,702,705,602,603,,,,702,705,,,,,,602,603,,,,,
2040,2,202,301,102,,,,,202,,,,,,,301,102,,,,,,99999,,,99999,,,99999,,,305,304,201,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2041,1,201,301,401,102,,,,201,301,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,102,202,206,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2041,2,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,302,303,309,,,,,99999,,,,702,705,601,201,301,,,702,705,601,,,,,201,301,,,,,
2042,1,105,907,201,301,401,,,105,907,,,,,,201,301,401,,,,,99999,,,99999,,,99999,,,302,303,203,352,,,,906,,,,607,702,705,,,,,607,702,705,,,,,99999,,,,,,
2042,2,201,102,301,401,,,,201,102,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,201,203,901,,,,906,,,,,,,,,,,,,,,,,,,,,,,,
